ID	Token
----------------------------------------
0	<pad>
1	<unk>
2	<eos>
3	<sos>
4	<mask>
5	mov
6	[
7	]
8	+
9	imm
10	rsp
11	rax
12	address
13	rbp
14	eax
15	disp
16	call
17	rdi
18	lea
19	rcx
20	xmm0
21	cmp
22	jmp
23	test
24	add
25	rsi
26	jz
27	rdx
28	ecx
29	pop
30	var_0x10
31	movapd
32	esi
33	rbx
34	xor
35	edx
36	retn
37	jnz
38	var_0x8
39	var_0x18
40	push
41	r14
42	r15
43	al
44	sub
45	movzx
46	r13
47	var_0x20
48	ptr
49	r12
50	edi
51	.plt
52	cl
53	var_0x28
54	var_0x4
55	and
56	var_0x1C
57	ebx
58	var_0x30
59	r8d
60	var_0x528
61	r9
62	r8
63	inc
64	ebp
65	var_0x38
66	movsxd
67	var_0x530
68	r10
69	ax
70	js
71	dword
72	movss
73	movsd
74	var_0x40
75	var_0x520
76	var_0xC
77	var_0x14
78	shr
79	r15d
80	xmm1
81	var_0x58
82	var_0x24
83	r14d
84	movaps
85	qword
86	shl
87	r13d
88	dil
89	xmm2
90	movups
91	var_0x2C
92	var_0x1
93	jge
94	byte
95	var_0x518
96	var_0x48
97	var_0x50
98	dec
99	movsx
100	var_0x358
101	r9d
102	imul
103	sar
104	or
105	r12d
106	var_0x510
107	0
108	8
109	ja
110	var_0x488
111	var_0x1C8
112	jle
113	dl
114	var_0x508
115	r11
116	var_0x70
117	var_0x1B8
118	pextrw
119	var_0x4F8
120	xmm9
121	var_0x1B0
122	var_0x15
123	var_0x60
124	var_0x468
125	var_0x1D8
126	var_0x448
127	var_0x538
128	var_0x438
129	var_0x26
130	xmm4
131	var_0x68
132	var_0x2
133	var_0x4C8
134	var_0x478
135	var_0x458
136	xmm3
137	r8b
138	var_0x4A8
139	var_0x428
140	var_0x500
141	var_0x3E8
142	jnb
143	var_0x190
144	var_0x3F8
145	var_0x498
146	var_0x1E0
147	var_0x180
148	var_0x80
149	var_0x408
150	.memset
151	var_0x34
152	var_0x178
153	word
154	cx
155	.sprintf
156	xmm5
157	var_0x418
158	nop
159	var_0x88
160	.slapi_log_error
161	4
162	var_0x1D0
163	var_0x78
164	addsd
165	var_0x4F0
166	r10d
167	var_0x1C0
168	*
169	var_0x108
170	var_0x198
171	setz
172	var_0x16
173	var_0x188
174	var_0x4E8
175	var_0xF8
176	var_0x3D8
177	movupd
178	._ZdlPvm
179	var_0x3C
180	var_0x98
181	setnz
182	var_0x398
183	var_0x170
184	.fwrite
185	cdqe
186	var_0x158
187	pcmpeqb
188	xmm8
189	movdqa
190	var_0x4B8
191	.printf
192	var_0xE8
193	var_0x1A8
194	var_0x54
195	xorps
196	r11d
197	var_0x2E
198	xorpd
199	var_0x150
200	var_0x118
201	.free
202	r10b
203	sil
204	jns
205	var_0x228
206	var_0xA8
207	jb
208	1
209	idiv
210	var_0x104
211	var_0x160
212	var_0x44
213	var_0x1A0
214	var_0x120
215	var_0xB8
216	var_0xB0
217	var_0x100
218	var_0x348
219	var_0x90
220	var_0xF0
221	var_0x168
222	var_0x3C8
223	fld
224	var_0x148
225	var_0x218
226	var_0x338
227	.strlen
228	.fprintf
229	var_0xD8
230	var_0x670
231	var_0x328
232	var_0x22
233	xmmword
234	xadd
235	var_0xE0
236	var_0x130
237	var_0x388
238	var_0x5C
239	var_0xD0
240	setb
241	var_0x318
242	var_0xA0
243	var_0xC8
244	var_0xC0
245	movsq
246	var_0x308
247	ucomisd
248	var_0x288
249	mulsd
250	jg
251	var_0x1F8
252	var_0x238
253	var_0x278
254	var_0x208
255	-
256	var_0x268
257	var_0x128
258	var_0x2F8
259	var_0x768
260	var_0x258
261	neg
262	var_0x9
263	xmm6
264	.__stack_chk_fail
265	jbe
266	var_0x140
267	var_0x45
268	var_0x248
269	var_0x4D8
270	var_0x2E8
271	.rte_log
272	var_0x138
273	cdq
274	.strcmp
275	var_0x1D00
276	var_0x2D8
277	var_0x59
278	movdqu
279	var_0x110
280	var_0xE
281	var_0x2C8
282	var_0x2B8
283	var_0x3A8
284	cvtsi2sd
285	cvtss2sd
286	var_0x1E8
287	divsd
288	movd
289	var_0x114
290	var_0x64
291	setle
292	var_0x1CF8
293	addss
294	var_0x360
295	var_0x2A8
296	r9b
297	st
298	.snprintf
299	.__errno_location
300	var_0x4C
301	cvtsi2ss
302	jl
303	var_0x4E0
304	:
305	ds
306	var_0x8D0
307	._ZdlPv
308	var_0x1F0
309	unpcklpd
310	var_0x460
311	xmm7
312	.__ctype_b_loc
313	var_0x748
314	var_0x22D
315	var_0x4FC
316	.ioctl
317	var_0x4D0
318	div
319	var_0x758
320	var_0x11
321	var_0x778
322	bpl
323	var_0x1CE0
324	fstp
325	var_0x4C0
326	var_0x1CE8
327	r11b
328	var_0x5
329	bl
330	var_0x1CD8
331	dx
332	var_0x49
333	var_0x210
334	var_0x200
335	.exit
336	var_0x3C0
337	cmovz
338	var_0x1CF0
339	.BIO_free_all
340	.gettimeofday
341	var_0x490
342	._Unwind_Resume
343	var_0x8C8
344	var_0x39
345	var_0xA
346	.g_return_if_fail_warning
347	si
348	var_0x31
349	.slapi_unlock_mutex
350	bt
351	var_0x6C
352	pslldq
353	var_0x370
354	var_0x368
355	._ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE10_M_replaceEmmPKcm
356	var_0xF4
357	cvttsd2si
358	var_0x29
359	var_0x378
360	var_0x610
361	.g_free
362	var_0x220
363	var_0x6B8
364	._ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEC2IS3_EEPKcRKS3_
365	var_0x39C
366	var_0x3AC
367	var_0x84
368	.g_type_check_instance_is_a
369	var_0xC38
370	var_0x230
371	var_0x5A
372	var_0xC40
373	.numa_alloc
374	var_0x1A
375	cmovnz
376	._ZSt16__ostream_insertIcSt11char_traitsIcEERSt13basic_ostreamIT_T0_ES6_PKS3_l
377	.puts
378	movq
379	.CommandLineFindNextArgumentA
380	._ZNSt15__new_allocatorIcED2Ev
381	var_0x618
382	.g_object_unref
383	.fclose
384	cqo
385	var_0x658
386	._ZNSolsEPFRSoS_E
387	var_0x161
388	(
389	)
390	._ZN9wxPrivate18GetUntypedNullDataEv
391	var_0x390
392	xchg
393	cmova
394	var_0x3B8
395	var_0x720
396	var_0x1D18
397	.CRYPTO_free
398	.memcpy
399	.ERR_new
400	var_0x6F8
401	._ZStlsISt11char_traitsIcEERSt13basic_ostreamIcT_ES5_PKc
402	var_0x2A
403	cmovs
404	.g_type_check_instance_cast
405	var_0x6D8
406	var_0x760
407	._ZStlsISt11char_traitsIcEERSt13basic_ostreamIcT_ES5_c
408	.g_malloc0_n
409	.strerror
410	var_0x600
411	var_0x11C
412	var_0x94
413	var_0xD
414	._ZN23KoShapeConfigWidgetBaseD2Ev
415	sbb
416	var_0x3B0
417	.slapi_pblock_set
418	var_0x22C
419	var_0x690
420	var_0x620
421	var_0x8D8
422	cmovg
423	var_0x41
424	._Z10wxOnAssertPKciS0_S0_PKw
425	var_0x660
426	var_0x8A4
427	._ZNSt7__cxx1118basic_stringstreamIcSt11char_traitsIcESaIcEEC1Ev
428	._ZNSt9basic_iosIcSt11char_traitsIcEE5rdbufEPSt15basic_streambufIcS1_E
429	var_0x1E
430	var_0x3D
431	var_0x380
432	.__isoc23_sscanf
433	var_0x12
434	var_0x640
435	var_0x21
436	var_0x350
437	var_0x430
438	var_0x608
439	._ZNKSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE5rfindEPKcmm
440	var_0x1098
441	var_0x109E
442	var_0x10A0
443	var_0x10A8
444	var_0x10B0
445	var_0x10B8
446	var_0x10C0
447	var_0x10C6
448	var_0x10C8
449	var_0x10D0
450	var_0x10D8
451	var_0x10E0
452	var_0x10E8
453	var_0x10EE
454	var_0x10F0
