ID	Token
----------------------------------------
0	<pad>
1	<unk>
2	<eos>
3	<sos>
4	<mask>
5	mov
6	rax
7	[
8	]
9	+
10	var
11	rbp
12	address
13	imm
14	rdi
15	rsp
16	rdx
17	disp
18	call
19	rsi
20	rbx
21	lea
22	r12
23	rcx
24	daddr
25	jz
26	jmp
27	cmp
28	test
29	r13
30	push
31	.plt
32	add
33	pop
34	r14
35	sub
36	xmm0
37	r15
38	jnz
39	xor
40	r8
41	endbr64
42	al
43	retn
44	movzx
45	r9
46	xmm1
47	movsd
48	and
49	r10
50	xmm2
51	nop
52	movsxd
53	r11
54	shl
55	leave
56	xmm3
57	movaps
58	or
59	.__stack_chk_fail_ptr
60	xmm4
61	shr
62	movss
63	movdqa
64	xmm5
65	jle
66	ja
67	dl
68	xmm6
69	jbe
70	movq
71	xmm7
72	imul
73	ymm0
74	cl
75	vmovdqa
76	movups
77	sar
78	._Unwind_Resume_ptr
79	pxor
80	cdqe
81	mulsd
82	._ZdlPvm_ptr
83	movsx
84	jg
85	js
86	movapd
87	setz
88	addsd
89	:
90	._ZN10QArrayData10deallocateEPS_mm_ptr
91	ds
92	0
93	inc
94	*
95	._Znwm_ptr
96	ymm1
97	._ZdlPv_ptr
98	jnb
99	.free_ptr
100	xmm8
101	setnz
102	movdqu
103	vmovsd
104	jb
105	xmm9
106	sil
107	movd
108	xmm10
109	bl
110	.fflush_ptr
111	.__fprintf_chk_ptr
112	._Py_Dealloc_ptr
113	jns
114	8
115	xmm11
116	jl
117	._ZN7QStringD2Ev_ptr
118	jge
119	mulss
120	subsd
121	xmm12
122	ymm2
123	cvtsi2sd
124	xadd
125	xmm13
126	dil
127	xmm15
128	neg
129	._ZN8QVariantD1Ev_ptr
130	xmm14
131	comisd
132	.strcmp_ptr
133	.strlen_ptr
134	ymm3
135	cmovz
136	cmovnz
137	.memcpy_ptr
138	ymm4
139	addss
140	4
141	._ZN8OFStringD1Ev_ptr
142	.__cxa_end_catch_ptr
143	.__errno_location_ptr
144	ymm5
145	ymm6
146	punpcklqdq
147	.__cxa_begin_catch_ptr
148	bpl
149	dec
150	ymm7
151	divsd
152	.g_type_check_instance_cast_ptr
153	paddd
154	._ZN7QString16fromAscii_helperEPKci_ptr
155	._ZSt16__ostream_insertIcSt11char_traitsIcEERSt13basic_ostreamIT_T0_ES6_PKS3_l_ptr
156	cvtsi2ss
157	vpaddd
158	subss
159	.__assert_fail_ptr
160	cvttsd2si
161	ymm8
162	.malloc_ptr
163	vmovdqu
164	comiss
165	vmovss
166	rol
167	cvtss2sd
168	punpcklwd
169	not
170	vmovaps
171	.__stack_chk_fail
172	ymm9
173	._ZStlsISt11char_traitsIcEERSt13basic_ostreamIcT_ES5_PKc_ptr
174	div
175	._ZSt20__throw_length_errorPKc_ptr
176	._ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE10_M_disposeEv_ptr
177	vmovd
178	sbb
179	idiv
180	.__cxa_atexit_ptr
181	vmovq
182	cmovbe
183	ymm10
184	punpckldq
185	.fprintf_ptr
186	ucomisd
187	cmovs
188	vpmaddwd
189	._ZNSaIcED1Ev_ptr
190	vmulsd
191	.dcgettext_ptr
192	cmovg
193	ymm11
194	xchg
195	.memmove_ptr
196	.g_free_ptr
197	cvtsd2ss
198	.__printf_chk_ptr
199	ymm12
200	._ZN11QMetaObject10ConnectionD1Ev_ptr
201	.fwrite_ptr
202	xorps
203	pand
204	cdq
205	punpckhwd
206	pmaddwd
207	.memset_ptr
208	jp
209	cmovle
210	.__cxa_rethrow_ptr
211	._ZN6QDebugD1Ev_ptr
212	cmova
213	mul
214	.memcmp_ptr
215	setnbe
216	ymm13
217	cvttss2si
218	.g_return_if_fail_warning_ptr
219	.PyErr_SetString_ptr
220	adc
221	.__cxa_allocate_exception_ptr
222	.abort_ptr
223	._ZN7QString15fromUtf8_helperEPKci_ptr
224	.__cxa_throw_ptr
225	ymm14
226	unknown
227	.__snprintf_chk_ptr
228	._ZN12QScriptValueD1Ev_ptr
229	andpd
230	divss
231	pshufd
232	vpsrad
233	.PyErr_Occurred_ptr
234	.close_ptr
235	st
236	cmovns
237	cmovl
238	vaddsd
239	ymm15
240	ror
241	._ZN11QMetaObject8activateEP7QObjectPKS_iPPv_ptr
242	stosq
243	setnle
244	.calloc_ptr
245	._ZdaPv_ptr
246	.strcmp
247	.strncmp_ptr
248	._ZN8wxStringD2Ev_ptr
249	setb
250	paddw
251	.exit_ptr
252	bt
253	psrad
254	._ZN8OFStringC1EPKc_ptr
255	._ZN7QObject13setObjectNameERK7QString_ptr
256	bswap
257	vpmulld
258	.g_type_check_instance_is_a_ptr
259	._ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEED2Ev_ptr
260	._ZN7Dyninst12MachRegisterC2EiPKc_ptr
261	.strdup_ptr
262	.__cxa_free_exception_ptr
263	.strerror_ptr
264	._ZNSaIcEC1Ev_ptr
265	vpaddw
266	mulps
267	.strchr_ptr
268	._ZN11QTextStreamlsEc_ptr
269	pcmpeqb
270	andps
271	cmovb
272	por
273	cmovge
274	._ZN7QStringC2EPKc_ptr
275	vzeroupper
276	prefetcht0
277	.fputc_ptr
278	._ZNK11QMetaObject2trEPKcS1_i_ptr
279	.pthread_mutex_unlock_ptr
280	mulpd
281	._Unwind_Resume
282	._ZdlPv
283	.evas_object_show_ptr
284	._ZN7QObject11connectImplEPKS_PPvS1_S3_PN9QtPrivate15QSlotObjectBaseEN2Qt14ConnectionTypeEPKiPK11QMetaObject_ptr
285	._Znam_ptr
286	._ZN9QListData7disposeEPNS_4DataE_ptr
287	.strcasecmp_ptr
288	._eina_safety_error_ptr
289	movupd
290	.PyErr_Format_ptr
291	ucomiss
292	vsubsd
293	psubd
294	._ZN10QArrayData8allocateEmmm6QFlagsINS_16AllocationOptionEE_ptr
295	.puts_ptr
296	._ZN10QByteArrayD2Ev_ptr
297	._ZSt20__replacement_assertPKciS0_S0__ptr
298	stosd
299	cmovnb
300	punpcklbw
301	movhps
302	vcvtsi2sd
303	.__cxa_guard_acquire_ptr
304	xorpd
305	.__cxa_guard_release_ptr
306	vcomisd
307	cwde
308	vmovups
309	.realloc_ptr
310	._ZSt17__throw_bad_allocv_ptr
311	movsb
312	.__sprintf_chk_ptr
313	vpinsrw
314	.g_object_unref_ptr
315	._ZSt19__throw_logic_errorPKc_ptr
316	.pthread_getspecific_ptr
317	pmovmskb
318	setle
319	.strtol_ptr
320	.pthread_mutex_lock_ptr
321	addps
322	.cairo_line_to_ptr
323	shufps
324	addpd
325	vpunpcklwd
326	vinserti128
327	vmovupd
328	vphaddd
329	cqo
330	._ZNKSt5ctypeIcE13_M_widen_initEv_ptr
331	._ZNSt6localeD1Ev_ptr
332	.printf_ptr
333	paddq
334	setbe
335	zmm0
336	vextractf128
337	vmulps
338	vxorps
339	setnb
340	vpunpckldq
341	(
342	)
343	vxorpd
344	vinsertf128
345	vdivsd
346	vpbroadcastd
347	vpshufb
348	packuswb
349	setl
350	vextracti128
351	punpckhdq
352	fld
353	vpackssdw
354	vpxor
355	psrldq
356	extractps
357	punpckhbw
358	vmulss
359	vmaskmovps
360	fstp
361	vpunpckhwd
362	psrlw
363	pmullw
364	vmovapd
365	pmuludq
366	pshufb
367	vpunpcklqdq
368	maxsd
369	vpsubd
370	1
371	stosb
372	movsq
373	pmaxsw
374	pandn
375	vbroadcastss
376	vaddps
377	vpmaddubsw
378	pminsw
379	pinsrd
380	pslld
381	movlps
382	vaddss
383	psrld
384	unpcklpd
385	packssdw
386	unpcklps
387	minsd
388	ud2
389	pcmpeqd
390	vperm2i128
391	punpckhqdq
392	zmm1
393	palignr
394	vpextrd
395	vpaddq
396	pinsrw
397	vpand
398	psubw
399	k1
400	bsr
401	vpcmpeqd
402	sqrtsd
