endbr64(0x401000:0.000:0.000:0.000)	sub(0x401004:0.013:0.143:0.250) rsp 0x8
sub(0x401004:0.013:0.143:0.250) rsp 0x8	mov(0x401008:0.025:0.286:0.500) rax qword [ rel addr_data(0x403fe8:1.000:0.000:0) ]
mov(0x401008:0.025:0.286:0.500) rax qword [ rel addr_data(0x403fe8:1.000:0.000:0) ]	test(0x40100f:0.037:0.429:0.750) rax rax
test(0x40100f:0.037:0.429:0.750) rax rax	je(0x401012:0.050:0.571:1.000) addr_code(0x401016:0.062:0.714:0.000)
je(0x401012:0.050:0.571:1.000) addr_code(0x401016:0.062:0.714:0.000)	add(0x401016:0.062:0.714:0.000) rsp 0x8
add(0x401016:0.062:0.714:0.000) rsp 0x8	retn(0x40101a:0.075:0.857:1.000)
sub(0x401004:0.013:0.143:0.250) rsp 0x8	mov(0x401008:0.025:0.286:0.500) rax qword [ rel addr_data(0x403fe8:1.000:0.000:0) ]
mov(0x401008:0.025:0.286:0.500) rax qword [ rel addr_data(0x403fe8:1.000:0.000:0) ]	test(0x40100f:0.037:0.429:0.750) rax rax
test(0x40100f:0.037:0.429:0.750) rax rax	je(0x401012:0.050:0.571:1.000) addr_code(0x401016:0.062:0.714:0.000)
je(0x401012:0.050:0.571:1.000) addr_code(0x401016:0.062:0.714:0.000)	call(0x401014:0.087:1.000:0.000) rax
call(0x401014:0.087:1.000:0.000) rax	add(0x401016:0.062:0.714:0.000) rsp 0x8
add(0x401016:0.062:0.714:0.000) rsp 0x8	retn(0x40101a:0.075:0.857:1.000)
mov(0x401008:0.025:0.286:0.500) rax qword [ rel addr_data(0x403fe8:1.000:0.000:0) ]	test(0x40100f:0.037:0.429:0.750) rax rax
test(0x40100f:0.037:0.429:0.750) rax rax	je(0x401012:0.050:0.571:1.000) addr_code(0x401016:0.062:0.714:0.000)
je(0x401012:0.050:0.571:1.000) addr_code(0x401016:0.062:0.714:0.000)	add(0x401016:0.062:0.714:0.000) rsp 0x8
add(0x401016:0.062:0.714:0.000) rsp 0x8	retn(0x40101a:0.075:0.857:1.000)
test(0x40100f:0.037:0.429:0.750) rax rax	je(0x401012:0.050:0.571:1.000) addr_code(0x401016:0.062:0.714:0.000)
je(0x401012:0.050:0.571:1.000) addr_code(0x401016:0.062:0.714:0.000)	add(0x401016:0.062:0.714:0.000) rsp 0x8
add(0x401016:0.062:0.714:0.000) rsp 0x8	retn(0x40101a:0.075:0.857:1.000)
je(0x401012:0.050:0.571:1.000) addr_code(0x401016:0.062:0.714:0.000)	add(0x401016:0.062:0.714:0.000) rsp 0x8
add(0x401016:0.062:0.714:0.000) rsp 0x8	retn(0x40101a:0.075:0.857:1.000)
add(0x401016:0.062:0.714:0.000) rsp 0x8	retn(0x40101a:0.075:0.857:1.000)
call(0x401014:0.087:1.000:0.000) rax	add(0x401016:0.062:0.714:0.000) rsp 0x8
add(0x401016:0.062:0.714:0.000) rsp 0x8	retn(0x40101a:0.075:0.857:1.000)
endbr64(0x401030:0.125:0.000:0.000)	push(0x401034:0.138:0.500:0.500) 0x0
push(0x401034:0.138:0.500:0.500) 0x0	jmp(0x401039:0.150:1.000:1.000) addr_code(0x401020:0.100:0.000:0.000)
push(0x401034:0.138:0.500:0.500) 0x0	jmp(0x401039:0.150:1.000:1.000) addr_code(0x401020:0.100:0.000:0.000)
endbr64(0x401060:0.212:0.000:0.000)	xor(0x401064:0.225:0.091:0.091) ebp ebp
xor(0x401064:0.225:0.091:0.091) ebp ebp	mov(0x401066:0.237:0.182:0.182) r9 rdx
mov(0x401066:0.237:0.182:0.182) r9 rdx	pop(0x401069:0.250:0.273:0.273) rsi
pop(0x401069:0.250:0.273:0.273) rsi	mov(0x40106a:0.263:0.364:0.364) rdx rsp
mov(0x40106a:0.263:0.364:0.364) rdx rsp	and(0x40106d:0.275:0.455:0.455) rsp 0xfffffffffffffff0
and(0x40106d:0.275:0.455:0.455) rsp 0xfffffffffffffff0	push(0x401071:0.287:0.545:0.545) rax
push(0x401071:0.287:0.545:0.545) rax	push(0x401072:0.300:0.636:0.636) rsp
push(0x401072:0.300:0.636:0.636) rsp	xor(0x401073:0.312:0.727:0.727) r8d r8d
xor(0x401073:0.312:0.727:0.727) r8d r8d	xor(0x401076:0.325:0.818:0.818) ecx ecx
xor(0x401076:0.325:0.818:0.818) ecx ecx	lea(0x401078:0.338:0.909:0.909) rdi [ rel addr_code(0x401149:0.850:0.000:0.000) addr_code(0x401149:0.850:0.000:0.000) ]
lea(0x401078:0.338:0.909:0.909) rdi [ rel addr_code(0x401149:0.850:0.000:0.000) addr_code(0x401149:0.850:0.000:0.000) ]	call(0x40107f:0.350:1.000:1.000) qword [ rel addr_data(0x403fd8:1.000:0.000:0) ]
xor(0x401064:0.225:0.091:0.091) ebp ebp	mov(0x401066:0.237:0.182:0.182) r9 rdx
mov(0x401066:0.237:0.182:0.182) r9 rdx	pop(0x401069:0.250:0.273:0.273) rsi
