-1	-1 -1 -1
-1 -1 -1	-1 -1 -1 -1 -2
-1 -1 -1 -1 -2	-1 -1 -1
-1 -1 -1	-1 [5,6,10,11,15,16,18,19,21,22,23,24,25]
-1 [5,6,10,11,15,16,18,19,21,22,23,24,25]	-1 -1
-1 -1	-1 -1 -1
-1 -1 -1	-1
-1 -1 -1	-1 -1 -1 -1 -2
-1 -1 -1 -1 -2	-1 -1 -1
-1 -1 -1	-1 [5,6,10,11,15,16,18,19,21,22,23,24,25]
-1 [5,6,10,11,15,16,18,19,21,22,23,24,25]	-1 -1 -1
-1 -1 -1	-1
-1 -1 -1 -1 -2	-1 -1 -1
-1 -1 -1	-1 [5,6,10,11,15,16,18,19,21,22,23,24,25]
-1 [5,6,10,11,15,16,18,19,21,22,23,24,25]	-1 -1
-1 -1	-1 -1 -1
-1 -1 -1	-1
-1 -1 -1	-1 [5,6,10,11,15,16,18,19,21,22,23,24,25]
-1 [5,6,10,11,15,16,18,19,21,22,23,24,25]	-1 -1 -1
-1 -1 -1	-1
-1 [5,6,10,11,15,16,18,19,21,22,23,24,25]	-1 -1
-1 -1	-1 -1 -1
-1 -1 -1	-1
-1 -1 -1	-1
-1 -1	-1 -1 -1
-1 -1 -1	-1
-1	-1 -1
-1 -1	-1 -2
-1 -1	-1 -2
-1	-1 -1 -1
-1 -1 -1	-1 -1 -1
-1 -1 -1	-1 -1
-1 -1	-1 -1 -1
-1 -1 -1	-1 -1 -2
-1 -1 -2	-1 -1
-1 -1	-1 -1
-1 -1	-1 -1 -1
-1 -1 -1	-1 -1 -1
-1 -1 -1	-1 -1 -1 [239]
-1 -1 -1 [239]	-1 -1 -1 -2
-1 -1 -1	-1 -1 -1
-1 -1 -1	-1 -1
-1 -1	-1 -1 -1
-1 -1 -1	-1 -1 -2
-1 -1 -2	-1 -1
-1 -1	-1 -1
-1 -1	-1 -1 -1
-1 -1 -1	-1 -1 -1
-1 -1 -1	-1 -1 -1 [239]
-1 -1 -1 [239]	-1 -1 -1 -2
-1 -1 -1	-1 -1
-1 -1	-1 -1 -1
-1 -1 -1	-1 -1 -2
-1 -1 -2	-1 -1
-1 -1	-1 -1
-1 -1	-1 -1 -1
-1 -1 -1	-1 -1 -1
-1 -1 -1	-1 -1 -1 [239]
-1 -1 -1 [239]	-1 -1 -1 -2
-1 -1	-1 -1 -1
-1 -1 -1	-1 -1 -2
-1 -1 -2	-1 -1
-1 -1	-1 -1
-1 -1	-1 -1 -1
-1 -1 -1	-1 -1 -1
-1 -1 -1	-1 -1 -1 [239]
-1 -1 -1 [239]	-1 -1 -1 -2
-1 -1 -1	-1 -1 -2
-1 -1 -2	-1 -1
-1 -1	-1 -1
-1 -1	-1 -1 -1
-1 -1 -1	-1 -1 -1
-1 -1 -1	-1 -1 -1 [239]
-1 -1 -1 [239]	-1 -1 -1 -2
-1 -1 -2	-1 -1
-1 -1	-1 -1
-1 -1	-1 -1 -1
-1 -1 -1	-1 -1 -1
-1 -1 -1	-1 -1 -1 [239]
-1 -1 -1 [239]	-1 -1 -1 -2
-1 -1	-1 -1
-1 -1	-1 -1 -1
-1 -1 -1	-1 -1 -1
-1 -1 -1	-1 -1 -1 [239]
-1 -1 -1 [239]	-1 -1 -1 -2
-1 -1	-1 -1 -1
-1 -1 -1	-1 -1 -1
-1 -1 -1	-1 -1 -1 [239]
-1 -1 -1 [239]	-1 -1 -1 -2
-1 -1 -1	-1 -1 -1
-1 -1 -1	-1 -1 -1 [239]
-1 -1 -1 [239]	-1 -1 -1 -2
-1 -1 -1	-1 -1 -1 [239]
-1 -1 -1 [239]	-1 -1 -1 -2
-1 -1 -1 [239]	-1 -1 -1 -2
-1 -1 -1 -2	-1 -1 -1 -2
-1 -1 -1 -2	-1 -1 -1
-1 -1 -1	-1 [98,101,103,104,110]
-1 [98,101,103,104,110]	-1
-1 -1 -1 -2	-1 -1 -1
-1 -1 -1	-1 [98,101,103,104,110]
-1 [98,101,103,104,110]	-1
-1 -1 -1	-1 [98,101,103,104,110]
-1 [98,101,103,104,110]	-1
-1 [98,101,103,104,110]	-1
-1 -1 -1 -1 -2	-1 -1 -1
-1 -1 -1	-1 [98,101,103,104,110]
-1 [98,101,103,104,110]	-1 -1
-1 -1 -1	-1 [98,101,103,104,110]
-1 [98,101,103,104,110]	-1 -1
-1 [98,101,103,104,110]	-1
-1 -1 -1 -2	-1 -1 -1 -2
-1 -1 -1 -2	-1 -1 -1
-1 -1 -1	-1 -1 -1
-1 -1 -1	-1 -1 -1
-1 -1 -1	-1 -1 -1
-1 -1 -1	-1 -1 -1
-1 -1 -1	-1 -1 -1
-1 -1 -1	-1 [119,130,140,146,161,164,169,173,178,179]
-1 [119,130,140,146,161,164,169,173,178,179]	-1
-1 -1 -1 -2	-1 -1 -1
-1 -1 -1	-1 -1 -1
-1 -1 -1	-1 -1 -1
-1 -1 -1	-1 -1 -1
-1 -1 -1	-1 -1 -1
-1 -1 -1	-1 -1 -1
-1 -1 -1	-1 [119,130,140,146,161,164,169,173,178,179]
-1 [119,130,140,146,161,164,169,173,178,179]	-1 -1 -1 -1 -2
-1 -1 -1 -1 -2	-1 -1 -1
-1 -1 -1	-1 [119,130,140,146,161,164,169,173,178,179]
-1 [119,130,140,146,161,164,169,173,178,179]	-1
-1 -1 -1	-1 -1 -1
-1 -1 -1	-1 -1 -1
-1 -1 -1	-1 -1 -1
-1 -1 -1	-1 -1 -1
-1 -1 -1	-1 -1 -1
-1 -1 -1	-1 [119,130,140,146,161,164,169,173,178,179]
-1 [119,130,140,146,161,164,169,173,178,179]	-1 -1 -1 -1 -2
-1 -1 -1 -1 -2	-1 -1 -1
-1 -1 -1	-1 [119,130,140,146,161,164,169,173,178,179]
-1 [119,130,140,146,161,164,169,173,178,179]	-1
-1 -1 -1	-1 -1 -1
-1 -1 -1	-1 -1 -1
-1 -1 -1	-1 -1 -1
-1 -1 -1	-1 -1 -1
-1 -1 -1	-1 [119,130,140,146,161,164,169,173,178,179]
-1 [119,130,140,146,161,164,169,173,178,179]	-1
-1 -1 -1	-1 -1 -1
-1 -1 -1	-1 -1 -1
-1 -1 -1	-1 -1 -1
-1 -1 -1	-1 [119,130,140,146,161,164,169,173,178,179]
