endbr64(0x202140:0.39812932:0.00000000:0.00000000)	xor(0x202144:0.39812932:0.00000000:0.12903226) ebp ebp
xor(0x202144:0.39812932:0.00000000:0.12903226) ebp ebp	mov(0x202146:0.39812932:0.00000000:0.19354839) r9 rdx
mov(0x202146:0.39812932:0.00000000:0.19354839) r9 rdx	pop(0x202149:0.39812932:0.00000000:0.29032258) rsi
pop(0x202149:0.39812932:0.00000000:0.29032258) rsi	mov(0x20214a:0.39812932:0.00000000:0.32258065) rdx rsp
mov(0x20214a:0.39812932:0.00000000:0.32258065) rdx rsp	and(0x20214d:0.39812932:0.00000000:0.41935484) rsp 0xfffffffffffffff0
and(0x20214d:0.39812932:0.00000000:0.41935484) rsp 0xfffffffffffffff0	push(0x202151:0.39812932:0.00000000:0.54838710) rax
push(0x202151:0.39812932:0.00000000:0.54838710) rax	push(0x202152:0.39812932:0.00000000:0.58064516) rsp
push(0x202152:0.39812932:0.00000000:0.58064516) rsp	xor(0x202153:0.39812932:0.00000000:0.61290323) r8d r8d
xor(0x202153:0.39812932:0.00000000:0.61290323) r8d r8d	xor(0x202156:0.39812932:0.00000000:0.70967742) ecx ecx
xor(0x202156:0.39812932:0.00000000:0.70967742) ecx ecx	lea(0x202158:0.39812932:0.00000000:0.77419355) rdi [ rel address(0x202430:0.43635624:0.00000000:0.00000000) ]
lea(0x202158:0.39812932:0.00000000:0.77419355) rdi [ rel address(0x202430:0.43635624:0.00000000:0.00000000) ]	call(0x20215f:0.39812932:0.00000000:1.00000000) qword [ rel address(0x203c50:0.75030500:0.00000000:0.00000000) ]
xor(0x202144:0.39812932:0.00000000:0.12903226) ebp ebp	mov(0x202146:0.39812932:0.00000000:0.19354839) r9 rdx
mov(0x202146:0.39812932:0.00000000:0.19354839) r9 rdx	pop(0x202149:0.39812932:0.00000000:0.29032258) rsi
pop(0x202149:0.39812932:0.00000000:0.29032258) rsi	mov(0x20214a:0.39812932:0.00000000:0.32258065) rdx rsp
mov(0x20214a:0.39812932:0.00000000:0.32258065) rdx rsp	and(0x20214d:0.39812932:0.00000000:0.41935484) rsp 0xfffffffffffffff0
and(0x20214d:0.39812932:0.00000000:0.41935484) rsp 0xfffffffffffffff0	push(0x202151:0.39812932:0.00000000:0.54838710) rax
push(0x202151:0.39812932:0.00000000:0.54838710) rax	push(0x202152:0.39812932:0.00000000:0.58064516) rsp
push(0x202152:0.39812932:0.00000000:0.58064516) rsp	xor(0x202153:0.39812932:0.00000000:0.61290323) r8d r8d
xor(0x202153:0.39812932:0.00000000:0.61290323) r8d r8d	xor(0x202156:0.39812932:0.00000000:0.70967742) ecx ecx
xor(0x202156:0.39812932:0.00000000:0.70967742) ecx ecx	lea(0x202158:0.39812932:0.00000000:0.77419355) rdi [ rel address(0x202430:0.43635624:0.00000000:0.00000000) ]
