================================================================================
TOKEN-TO-ID MAPPINGS
================================================================================
Vocabulary size: 1157

ID         Token                                              Frequency      
--------------------------------------------------------------------------------
0          <pad>                                              0
1          <unk>                                              0
2          <eos>                                              0
3          <sos>                                              0
4          <mask>                                             0
5          mov                                                12,891,775
6          +                                                  12,301,692
7          [                                                  12,212,040
8          ]                                                  12,212,040
9          rbp                                                11,002,426
10         var                                                9,457,774
11         address                                            8,117,925
12         rax                                                6,529,581
13         imm                                                5,740,326
14         rdi                                                2,950,208
15         eax                                                2,836,213
16         rsp                                                2,670,870
17         call                                               2,209,537
18         rcx                                                1,894,715
19         lea                                                1,802,733
20         cmp                                                1,479,517
21         jmp                                                1,368,550
22         rsi                                                1,232,522
23         add                                                1,165,150
24         al                                                 984,324
25         jz                                                 856,143
26         pop                                                854,094
27         push                                               829,670
28         rdx                                                822,506
29         ecx                                                818,716
30         sub                                                695,828
31         retn                                               671,180
32         disp                                               603,719
33         jnz                                                593,481
34         xmm0                                               551,158
35         esi                                                511,550
36         xor                                                510,359
37         rbx                                                476,458
38         edx                                                462,364
39         ptr                                                423,565
40         test                                               423,351
41         r14                                                354,170
42         edi                                                302,664
43         8                                                  301,267
44         and                                                289,577
45         r15                                                274,718
46         movzx                                              257,608
47         r12                                                227,042
48         xmm1                                               223,684
49         movsxd                                             210,960
50         r8                                                 184,595
51         *                                                  171,131
52         movaps                                             169,663
53         r13                                                165,155
54         movsd                                              144,449
55         movss                                              142,097
56         cl                                                 134,889
57         r8d                                                127,797
58         r9                                                 120,040
59         jge                                                118,735
60         byte                                               118,400
61         s                                                  113,560
62         xmm2                                               113,229
63         dword                                              103,592
64         4                                                  92,505
65         ebp                                                91,535
66         shl                                                89,058
67         qword                                              85,060
68         movsx                                              77,377
69         arg                                                75,403
70         r9d                                                72,485
71         movups                                             69,232
72         xmm3                                               67,721
73         ebx                                                67,451
74         or                                                 65,093
75         jnb                                                59,633
76         shr                                                59,621
77         r10                                                59,105
78         imul                                               58,881
79         ja                                                 58,365
80         setnz                                              53,628
81         r12d                                               49,580
82         dl                                                 46,981
83         ax                                                 46,638
84         xmm4                                               46,001
85         jle                                                45,030
86         inc                                                43,202
87         r14d                                               42,968
88         r15d                                               40,419
89         xmm5                                               40,350
90         xorps                                              37,327
91         jbe                                                35,986
92         dest                                               35,820
93         r11                                                35,438
94         jl                                                 34,970
95         xmm6                                               34,646
96         r13d                                               32,050
97         cdqe                                               31,994
98         jb                                                 31,955
99         s1                                                 30,896
100        src                                                30,608
101        setz                                               30,253
102        -                                                  29,010
103        sar                                                27,129
104        r10d                                               26,972
105        xmm7                                               26,885
106        stream                                             26,686
107        cx                                                 25,694
108        2                                                  25,203
109        movdqa                                             24,664
110        word                                               24,448
111        jg                                                 23,883
112        dec                                                23,616
113        setl                                               22,770
114        mulss                                              21,655
115        n                                                  21,062
116        mulsd                                              20,988
117        bpl                                                20,696
118        js                                                 20,558
119        0                                                  20,493
120        r11d                                               20,248
121        argv                                               19,761
122        xmmword                                            19,727
123        idiv                                               19,435
124        argc                                               18,987
125        addss                                              18,726
126        sil                                                18,570
127        1                                                  18,418
128        nop                                                17,868
129        addsd                                              15,465
130        cvtsi2sd                                           15,416
131        cmovnz                                             14,986
132        xmm8                                               14,733
133        cdq                                                14,448
134        format                                             13,825
135        cvtss2sd                                           13,647
136        ucomisd                                            13,002
137        short                                              12,810
138        .                                                  12,732
139        fd                                                 12,494
140        divsd                                              11,423
141        xmm9                                               11,279
142        movdqu                                             9,729
143        s2                                                 9,652
144        xmm10                                              9,549
145        dil                                                9,493
146        movapd                                             9,391
147        cvtsi2ss                                           9,137
148        cvtsd2ss                                           8,858
149        subss                                              8,842
150        nptr                                               8,324
151        r8b                                                8,289
152        size                                               8,283
153        endbr64                                            7,957
154        movq                                               7,885
155        cmovz                                              7,792
156        status                                             7,789
157        xmm11                                              7,713
158        dx                                                 7,493
159        bl                                                 7,428
160        div                                                7,292
161        buf                                                7,059
162        movd                                               6,843
163        neg                                                6,692
164        r15w                                               6,504
165        subsd                                              6,405
166        xmm12                                              6,395
167        divss                                              6,198
168        ucomiss                                            6,148
169        zmm0                                               6,103
170        c                                                  6,086
171        vmovdqa64                                          6,047
172        longind                                            6,042
173        bp                                                 5,836
174        cvttsd2si                                          5,768
175        r14w                                               5,603
176        xmm13                                              5,415
177        setb                                               5,301
178        xmm15                                              5,203
179        name                                               5,119
180        vmovaps                                            5,102
181        ymm0                                               4,967
182        r9b                                                4,820
183        file                                               4,671
184        cqo                                                4,644
185        r13b                                               4,643
186        pshufd                                             4,578
187        shufps                                             4,366
188        r14b                                               4,192
189        si                                                 4,142
190        x                                                  4,137
191        mulps                                              4,121
192        xmm14                                              4,075
193        pxor                                               3,929
194        addps                                              3,825
195        r10b                                               3,769
196        r12b                                               3,729
197        pand                                               3,725
198        r15b                                               3,701
199        cmovb                                              3,638
200        :                                                  3,592
201        filename                                           3,529
202        paddd                                              3,385
203        longopts                                           3,373
204        rol                                                3,315
205        xadd                                               3,257
206        unpcklps                                           3,151
207        bt                                                 2,977
208        xchg                                               2,913
209        3                                                  2,908
210        haystack                                           2,875
211        cvttss2si                                          2,847
212        jns                                                2,781
213        sbb                                                2,742
214        ds                                                 2,661
215        cmovl                                              2,637
216        r11b                                               2,588
217        vmovdqa                                            2,569
218        cmovnb                                             2,550
219        movupd                                             2,491
220        readfds                                            2,338
221        dpy                                                2,322
222        cmovns                                             2,303
223        andps                                              2,276
224        r12w                                               2,256
225        timer                                              2,252
226        por                                                2,229
227        mul                                                2,205
228        subps                                              2,184
229        ymm5                                               2,183
230        cmovge                                             2,125
231        not                                                2,121
232        errnum                                             2,048
233        zmm1                                               2,036
234        ymm1                                               2,007
235        cmovs                                              1,972
236        xorpd                                              1,908
237        vmovss                                             1,898
238        bswap                                              1,868
239        handle                                             1,867
240        tv                                                 1,847
241        punpcklbw                                          1,846
242        setnbe                                             1,826
243        unpckhpd                                           1,816
244        punpckldq                                          1,812
245        pextrw                                             1,765
246        vpinsrb                                            1,734
247        di                                                 1,662
248        setnle                                             1,602
249        offset                                             1,541
250        6                                                  1,536
251        tv_sec                                             1,534
252        fds_bits                                           1,519
253        addr                                               1,475
254        adc                                                1,460
255        setnb                                              1,445
256        tp                                                 1,427
257        psrld                                              1,397
258        nmemb                                              1,387
259        setnl                                              1,326
260        endptr                                             1,321
261        jp                                                 1,317
262        paddw                                              1,283
263        movlhps                                            1,248
264        mulpd                                              1,244
265        pslld                                              1,243
266        vmovsd                                             1,203
267        subpd                                              1,195
268        maxlen                                             1,193
269        timeout                                            1,188
270        paddq                                              1,185
271        pcmpeqd                                            1,160
272        cmova                                              1,119
273        msgid                                              1,108
274        psubw                                              1,103
275        punpcklwd                                          1,097
276        9                                                  1,093
277        mutex                                              1,042
278        tv_usec                                            1,017
279        fmt                                                1,016
280        pshuflw                                            1,007
281        cmpxchg                                            1,003
282        cvtss2si                                           1,003
283        5                                                  1,000
284        cmovg                                              993
285        orps                                               988
286        r9w                                                983
287        pcmpeqb                                            973
288        setle                                              973
289        7                                                  950
290        path                                               949
291        r8w                                                920
292        ymm6                                               909
293        pandn                                              887
294        vpinsrd                                            869
295        base                                               850
296        fds                                                848
297        dirp                                               825
298        ap                                                 821
299        fs                                                 813
300        vmovq                                              811
301        lineptr                                            810
302        unpcklpd                                           799
303        pri                                                758
304        act                                                744
305        punpckhbw                                          743
306        termios_p                                          726
307        setbe                                              697
308        cp                                                 685
309        string                                             678
310        pmuludq                                            677
311        optval                                             674
312        pshufhw                                            667
313        cmovle                                             655
314        cwde                                               652
315        message                                            651
316        vmovd                                              650
317        ymm2                                               650
318        addpd                                              648
319        packssdw                                           647
320        seto                                               647
321        hlt                                                639
322        sets                                               625
323        packuswb                                           618
324        y                                                  603
325        movlps                                             592
326        andpd                                              590
327        f                                                  582
328        nfds                                               570
329        len                                                569
330        pid                                                563
331        punpcklqdq                                         562
332        tv_nsec                                            554
333        zmm2                                               553
334        setnp                                              548
335        psrlw                                              536
336        pipedes                                            534
337        psraw                                              517
338        ymmword                                            517
339        set                                                515
340        sig                                                515
341        writefds                                           512
342        cvttps2dq                                          510
343        movlpd                                             501
344        nbytes                                             498
345        bx                                                 496
346        pmovmskb                                           488
347        psllw                                              477
348        out                                                476
349        cvtps2pd                                           470
350        stat_loc                                           468
351        lpsrc                                              465
352        (                                                  461
353        )                                                  461
354        andnps                                             457
355        pcmpgtd                                            454
356        vpaddw                                             446
357        st_mode                                            439
358        r10w                                               438
359        cmovbe                                             432
360        vpunpcklqdq                                        428
361        remaining                                          425
362        info                                               418
363        vpaddq                                             416
364        vmovdqu                                            414
365        vpsubw                                             412
366        crc32                                              402
367        cvtdq2ps                                           398
368        pai                                                398
369        pslldq                                             396
370        vpbroadcastq                                       395
371        fp                                                 385
372        psrlq                                              357
373        ymm4                                               355
374        c_cc                                               344
375        ymm7                                               341
376        stringp                                            340
377        pause                                              339
378        width                                              329
379        punpckhwd                                          326
380        movsq                                              325
381        height                                             324
382        req                                                324
383        pmaddwd                                            321
384        oact                                               314
385        cvtpd2ps                                           312
386        off                                                309
387        i                                                  308
388        vzeroupper                                         306
389        ymm3                                               303
390        maxss                                              299
391        needle                                             294
392        cmsg                                               292
393        xmm21                                              288
394        hostlong                                           280
395        ecode                                              276
396        oflag                                              275
397        st_size                                            275
398        modes                                              274
399        foreground                                         271
400        orpd                                               269
401        cmpleps                                            267
402        cmovo                                              264
403        psrldq                                             261
404        andnpd                                             258
405        requested_time                                     257
406        flags                                              256
407        jnp                                                256
408        tzcnt                                              253
409        vpinsrw                                            253
410        r11w                                               252
411        xmm20                                              252
412        r13w                                               251
413        pattern                                            250
414        cvtdq2pd                                           248
415        xmm18                                              246
416        psrad                                              244
417        addr_len                                           243
418        cmpltss                                            243
419        zmm18                                              241
420        ai                                                 238
421        data                                               236
422        resolved                                           235
423        syscall                                            233
424        outbytesleft                                       232
425        colormap                                           231
426        optlen                                             230
427        vpxor                                              230
428        cvttpd2dq                                          229
429        value                                              228
430        save_ptr                                           227
431        inbytesleft                                        226
432        xmm19                                              226
433        divps                                              223
434        uid                                                223
435        vinserti128                                        223
436        env                                                222
437        st                                                 222
