================================================================================
TOKEN-TO-ID MAPPINGS
================================================================================
Vocabulary size: 1104

ID         Token                                              Frequency      
--------------------------------------------------------------------------------
0          <pad>                                              0
1          <unk>                                              0
2          <eos>                                              0
3          <sos>                                              0
4          <mask>                                             0
5          mov                                                28,926,534
6          disp                                               27,416,412
7          rax                                                14,731,091
8          address                                            13,070,034
9          imm                                                9,642,339
10         rdi                                                6,984,495
11         call                                               6,010,068
12         lea                                                5,264,093
13         eax                                                4,925,910
14         rcx                                                4,574,276
15         rsi                                                3,113,119
16         [                                                  2,722,385
17         ]                                                  2,722,385
18         add                                                2,633,482
19         rsp                                                2,383,987
20         rbp                                                2,361,808
21         rdx                                                2,193,011
22         ecx                                                2,050,873
23         xmm0                                               2,001,613
24         cmp                                                1,850,273
25         jmp                                                1,795,258
26         al                                                 1,659,148
27         esi                                                1,216,580
28         xor                                                1,174,799
29         edx                                                1,156,170
30         pop                                                1,120,596
31         retn                                               1,033,015
32         push                                               1,009,592
33         sub                                                994,780
34         jz                                                 983,454
35         +                                                  899,889
36         ptr                                                750,006
37         xmm1                                               700,985
38         jnz                                                690,701
39         rbx                                                665,413
40         movaps                                             630,993
41         and                                                598,503
42         edi                                                552,018
43         movzx                                              545,495
44         test                                               543,731
45         r14                                                542,419
46         r15                                                446,794
47         r8                                                 435,154
48         2                                                  430,956
49         0                                                  429,181
50         1                                                  402,346
51         r8d                                                389,160
52         r12                                                370,926
53         movsxd                                             363,161
54         movsd                                              359,908
55         cl                                                 340,701
56         movups                                             330,193
57         r9                                                 298,021
58         shl                                                288,539
59         xmm2                                               283,232
60         r13                                                274,430
61         *                                                  259,673
62         movss                                              259,336
63         movdqa                                             241,850
64         xmmword                                            233,649
65         var                                                228,905
66         r9d                                                225,137
67         shr                                                196,466
68         or                                                 190,496
69         r10                                                189,840
70         byte                                               178,846
71         xmm3                                               161,384
72         dword                                              160,480
73         imul                                               152,553
74         ebp                                                144,684
75         qword                                              133,489
76         jge                                                128,404
77         ebx                                                127,252
78         8                                                  123,960
79         r11                                                120,735
80         movsx                                              113,011
81         ax                                                 109,437
82         xmm4                                               108,166
83         dl                                                 107,222
84         setnz                                              102,897
85         4                                                  98,007
86         movdqu                                             89,185
87         xmm5                                               87,694
88         r14d                                               79,505
89         cx                                                 78,954
90         r12d                                               78,610
91         r10d                                               77,420
92         xorps                                              76,121
93         xmm6                                               73,116
94         r15d                                               71,287
95         palignr                                            69,676
96         sar                                                67,372
97         mulsd                                              66,434
98         r11d                                               65,846
99         jnb                                                64,705
100        ja                                                 63,471
101        xmm7                                               58,621
102        inc                                                58,464
103        setz                                               58,341
104        cdqe                                               57,652
105        r13d                                               56,213
106        jle                                                50,056
107        addsd                                              48,233
108        mulss                                              46,698
109        idiv                                               46,112
110        xmm8                                               41,039
111        jbe                                                40,520
112        jl                                                 39,105
113        cvtsi2sd                                           38,658
114        addss                                              38,619
115        word                                               38,530
116        jb                                                 37,294
117        cmovnz                                             34,967
118        xmm9                                               34,833
119        setl                                               34,190
120        sil                                                34,090
121        dec                                                32,565
122        xmm10                                              29,404
123        movapd                                             28,333
124        cdq                                                27,887
125        ymm0                                               27,743
126        movd                                               27,454
127        divsd                                              27,026
128        nop                                                26,660
129        bpl                                                26,542
130        jg                                                 26,272
131        xmm11                                              26,169
132        movq                                               26,046
133        cvtss2sd                                           24,978
134        endbr64                                            24,265
135        dx                                                 23,627
136        js                                                 22,699
137        xmm12                                              21,868
138        vmovdqa                                            20,548
139        subsd                                              18,666
140        rol                                                18,619
141        cmovz                                              18,162
142        xmm13                                              18,146
143        cvtsi2ss                                           18,110
144        xmm15                                              17,653
145        cqo                                                17,526
146        pxor                                               17,096
147        ucomisd                                            17,031
148        paddd                                              16,756
149        cvtsd2ss                                           16,672
150        ymm1                                               16,647
151        cvttsd2si                                          16,615
152        adc                                                15,759
153        vmovaps                                            15,627
154        subss                                              15,608
155        dil                                                15,504
156        xmm14                                              15,436
157        pand                                               15,252
158        div                                                14,934
159        r8b                                                14,906
160        pshufd                                             14,517
161        r9b                                                14,095
162        short                                              13,323
163        setb                                               12,555
164        mul                                                12,377
165        neg                                                12,159
166        bl                                                 12,136
167        por                                                12,023
168        shufps                                             11,385
169        ymm5                                               11,348
170        cmovb                                              10,969
171        -                                                  10,897
172        mulps                                              10,080
173        divss                                              9,855
174        zmm0                                               9,782
175        r10b                                               9,627
176        ymm2                                               9,506
177        addps                                              9,483
178        vmovdqa64                                          9,411
179        movupd                                             9,267
180        :                                                  9,193
181        punpcklbw                                          8,880
182        ymm3                                               8,361
183        ymm4                                               8,273
184        ymm6                                               7,880
185        ymm7                                               7,800
186        punpcklwd                                          7,541
187        ucomiss                                            7,394
188        r15w                                               7,393
189        cmovnb                                             7,376
190        si                                                 7,320
191        ds                                                 7,294
192        ymm8                                               7,127
193        psrld                                              6,972
194        bp                                                 6,808
195        punpckldq                                          6,758
196        r14w                                               6,700
197        r14b                                               6,678
198        vpaddd                                             6,512
199        r13b                                               6,452
200        sbb                                                6,392
201        r15b                                               6,135
202        cvttss2si                                          6,060
203        r11b                                               6,057
204        ymm9                                               6,035
205        ymm10                                              5,972
206        pslld                                              5,924
207        r12b                                               5,839
208        paddw                                              5,451
209        vmovss                                             5,391
210        cmovl                                              5,355
211        vpinsrb                                            5,270
212        unpcklps                                           4,961
213        xchg                                               4,949
214        unpckhpd                                           4,916
215        ymm11                                              4,914
216        cmovns                                             4,890
217        vmovsd                                             4,847
218        not                                                4,828
219        xorpd                                              4,599
220        xadd                                               4,561
221        cmovge                                             4,549
222        setnle                                             4,543
223        zmm1                                               4,313
224        ymm13                                              4,211
225        psrad                                              4,169
226        pandn                                              4,157
227        ymm12                                              4,103
228        mulpd                                              4,088
229        pmaddwd                                            4,027
230        vpxor                                              4,016
231        bt                                                 3,821
232        bswap                                              3,761
233        pshuflw                                            3,747
234        offset                                             3,702
235        subpd                                              3,696
236        addpd                                              3,672
237        setnbe                                             3,611
238        ymm14                                              3,583
239        psubw                                              3,403
240        ror                                                3,391
241        subps                                              3,390
242        andps                                              3,361
243        shld                                               3,312
244        setnb                                              3,265
245        pcmpeqd                                            3,195
246        jns                                                3,154
247        unpcklpd                                           3,145
248        vpsrld                                             3,108
249        vmovdqu                                            3,090
250        di                                                 3,074
251        punpcklqdq                                         3,060
252        cmova                                              3,033
253        packuswb                                           3,018
254        paddq                                              2,986
255        vpor                                               2,976
256        cmovs                                              2,970
257        r9w                                                2,964
258        psrlq                                              2,883
259        ymm15                                              2,880
260        r12w                                               2,874
261        packssdw                                           2,844
262        pinsrw                                             2,746
263        pcmpgtd                                            2,739
264        r8w                                                2,698
265        punpckhwd                                          2,663
266        vpaddw                                             2,498
267        andpd                                              2,494
268        vpinsrd                                            2,479
269        pinsrb                                             2,464
270        cmovg                                              2,381
271        vpslld                                             2,347
272        vmovd                                              2,340
273        ymmword                                            2,263
274        zmm2                                               2,256
275        psubd                                              2,233
276        mm0                                                2,230
277        setnl                                              2,226
278        pmuludq                                            2,195
279        pextrw                                             2,169
280        mm3                                                2,103
281        movlpd                                             2,054
282        mm1                                                2,037
283        psrlw                                              2,028
284        movlhps                                            1,972
285        mm2                                                1,922
286        vmovq                                              1,913
287        name                                               1,882
288        mm7                                                1,858
289        cmovle                                             1,855
290        punpckhbw                                          1,842
291        fs                                                 1,787
292        mm5                                                1,765
293        pcmpeqb                                            1,754
294        shrd                                               1,747
295        mm4                                                1,733
296        psllq                                              1,711
297        pshufhw                                            1,665
298        jp                                                 1,636
299        setle                                              1,615
300        psraw                                              1,611
301        orpd                                               1,607
302        orps                                               1,592
303        setbe                                              1,550
304        mm6                                                1,541
305        seto                                               1,527
306        src                                                1,526
307        vpmaddwd                                           1,454
308        r10w                                               1,427
309        handle                                             1,415
310        bx                                                 1,414
311        vpaddq                                             1,379
312        vpinsrw                                            1,330
313        movlps                                             1,323
314        vpand                                              1,318
315        pshufb                                             1,315
316        cmpxchg                                            1,300
317        vpsrad                                             1,245
318        vpsubw                                             1,220
319        vpbroadcastd                                       1,215
320        vpshufb                                            1,208
321        zmm3                                               1,140
322        cvtss2si                                           1,092
323        vmovups                                            1,092
324        movsq                                              1,064
325        andnpd                                             1,054
326        cvttpd2dq                                          1,046
327        cvtdq2pd                                           1,042
328        psllw                                              1,042
329        aesenc                                             1,035
330        cvtps2pd                                           1,035
331        zmm18                                              1,026
332        pmovmskb                                           1,022
333        hlt                                                1,018
334        cwde                                               1,008
335        setnp                                              1,003
336        vmovdqa32                                          996
337        rorx                                               985
338        zmm17                                              970
339        vpunpcklqdq                                        965
340        r11w                                               964
341        pmullw                                             921
342        zmm19                                              921
343        cmovbe                                             915
344        punpckhqdq                                         900
345        cvtdq2ps                                           894
346        andnps                                             889
347        vinserti128                                        878
348        sets                                               859
349        zmm16                                              858
350        vpmaddubsw                                         855
351        psrldq                                             845
352        zmm25                                              835
353        zmm20                                              820
354        zmm24                                              811
355        cvttps2dq                                          809
356        pmaddubsw                                          806
357        pslldq                                             805
358        vpunpckhwd                                         790
359        st                                                 786
360        psadbw                                             783
361        adcx                                               781
362        adox                                               771
363        zmm21                                              767
364        mulx                                               763
365        vpunpcklwd                                         760
366        paddb                                              757
367        cvtpd2ps                                           750
368        vpbroadcastq                                       746
369        (                                                  741
370        )                                                  741
371        out                                                738
372        vxorps                                             735
373        pmaxsw                                             718
374        zmm22                                              716
375        vzeroupper                                         707
376        vpsubd                                             704
377        s1                                                 701
378        divpd                                              698
379        punpckhdq                                          677
380        paddsw                                             673
381        maxsd                                              662
382        zmm26                                              662
383        r13w                                               647
384        s                                                  640
385        vpmulld                                            640
386        psubusb                                            639
387        maxss                                              634
388        vpxord                                             617
389        vpackssdw                                          612
390        fstp                                               605
391        vfmadd213ss                                        589
392        vpclmulqdq                                         585
393        zmm4                                               581
394        vpmulhrsw                                          574
395        zmm23                                              569
396        zmm27                                              566
397        vprord                                             557
398        vmulss                                             556
399        vpalignr                                           553
400        minsd                                              551
401        vpunpcklbw                                         550
402        vpdpwssd                                           542
403        vpshufd                                            531
404        x                                                  524
405        fld                                                522
406        pmulhw                                             520
407        minss                                              503
408        zmm31                                              499
409        vpblendd                                           498
410        vcvtsi2ss                                          496
